Município,Participação PIB
Breu Branco (PA),"8,66"
Breves (PA),"42,07"
Bujaru (PA),"7,86"
Cachoeira do Piriá (PA),"4,32"
Cachoeira do Arari (PA),"15,35"
Cametá (PA),"23,34"
Canaã dos Carajás (PA),"39,04"
Capanema (PA),"26,2"
Capitão Poço (PA),"11,69"
Castanhal (PA),"68,94"
Chaves (PA),"14,9"
Colares (PA),"3,68"
Conceição do Araguaia (PA),"17,82"
Concórdia do Pará (PA),"7,59"
Cumaru do Norte (PA),"8,42"
Curionópolis (PA),"4,09"
Curralinho (PA),"13,3"
Curuá (PA),"1,6"
Curuçá (PA),"13,46"
Dom Eliseu (PA),"10,68"
Eldorado do Carajás (PA),"0,62"
Faro (PA),"1,45"
Floresta do Araguaia (PA),"16,2"
Garrafão do Norte (PA),"5,24"
Goianésia do Pará (PA),"5,75"
Gurupá (PA),"19,13"
Igarapé-Açu (PA),"7,64"
Igarapé-Miri (PA),"11,58"
Inhangapi (PA),"2,56"
Ipixuna do Pará (PA),"11,87"
Irituia (PA),"5,28"
Itaituba (PA),"54,47"
Itupiranga (PA),"9,18"
Jacareacanga (PA),"11,07"
Jacundá (PA),"6,71"
Juruti (PA),"27,43"
Limoeiro do Ajuru (PA),"8,43"
Mãe do Rio (PA),"6,46"
Magalhães Barata (PA),"3,58"
Marabá (PA),"94,68"
Maracanã (PA),"10,56"
Marapanim (PA),"9,6"
Marituba (PA),"4,57"
Medicilândia (PA),"9,12"
Melgaço (PA),"12,41"
Mocajuba (PA),"7,57"
Moju (PA),"24,36"
Mojuí dos Campos (PA),"3,08"
Monte Alegre (PA),"8,6"
Muaná (PA),"20,33"
Nova Esperança do Piriá (PA),"6,66"
Nova Ipixuna (PA),"2,1"
Nova Timboteua (PA),"2,71"
Novo Progresso (PA),"17,19"
Novo Repartimento (PA),"12,17"
Óbidos (PA),"18,25"
Oeiras do Pará (PA),"7,02"
Oriximiná (PA),"43,05"
Ourém (PA),"3,81"
Ourilândia do Norte (PA),"26,95"
Pacajá (PA),"7,72"
Palestina do Pará (PA),"0,69"
Paragominas (PA),"48,6"
Parauapebas (PA),"55,53"
Pau D'Arco (PA),"1,91"
Peixe-Boi (PA),"1,33"
Piçarra (PA),"4,86"
Placas (PA),"3,44"
Ponta de Pedras (PA),"16,52"
Portel (PA),"54,12"
Porto de Moz (PA),"37,02"
Prainha (PA),"4,72"
Primavera (PA),"5,91"
Quatipuru (PA),"2,22"
Redenção (PA),"42,41"
Rio Maria (PA),10
Rondon do Pará (PA),"8,33"
Rurópolis (PA),"8,79"
Salinópolis (PA),"23,36"
Salvaterra (PA),"12,62"
Santa Bárbara do Pará (PA),"0,43"
Santa Cruz do Arari (PA),"5,76"
Santa Izabel do Pará (PA),"13,69"
Santa Luzia do Pará (PA),"3,72"
Santa Maria das Barreiras (PA),"28,83"
Santa Maria do Pará (PA),"6,82"
Santana do Araguaia (PA),"37,15"
Santarém (PA),"68,09"
Santarém Novo (PA),"1,1"
Santo Antônio do Tauá (PA),"6,96"
São Caetano de Odivelas (PA),"6,67"
São Domingos do Araguaia (PA),"2,51"
São Domingos do Capim (PA),"8,32"
São Félix do Xingu (PA),"41,58"
São Francisco do Pará (PA),"4,85"
São Geraldo do Araguaia (PA),"11,81"
São João da Ponta (PA),"2,09"
São João de Pirabas (PA),"6,63"
São João do Araguaia (PA),"1,31"
São Miguel do Guamá (PA),"15,05"
São Sebastião da Boa Vista (PA),"11,53"
Sapucaia (PA),"2,35"
Senador José Porfírio (PA),"2,19"
Soure (PA),"14,51"
Tailândia (PA),"23,34"
Terra Alta (PA),"3,02"
Terra Santa (PA),"9,82"
Tomé-Açu (PA),"18,8"
Tracuateua (PA),"5,24"
Trairão (PA),"5,79"
Tucumã (PA),"20,37"
Tucuruí (PA),"61,19"
Ulianópolis (PA),"22,66"
Uruará (PA),"6,9"
Vigia (PA),"17,35"
Viseu (PA),"11,74"
Vitória do Xingu (PA),"37,67"
Xinguara (PA),"26,67"
Serra do Navio (AP),"0,54"
Amapá (AP),"31,53"
Pedra Branca do Amapari (AP),"2,65"
Calçoene (AP),"25,86"
Cutias (AP),"0,55"
Ferreira Gomes (AP),"3,38"
Itaubal (AP),"0,51"
Laranjal do Jari (AP),"64,86"
Macapá (AP),"75,52"
Mazagão (AP),"21,59"
Oiapoque (AP),"74,14"
Porto Grande (AP),"2,18"
Pracuúba (AP),"16,71"
Santana (AP),"14,67"
Tartarugalzinho (AP),"51,76"
Vitória do Jari (AP),"13,54"
Abreulândia (TO),"2,2"
Aguiarnópolis (TO),"4,61"
Aliança do Tocantins (TO),"9,1"
Almas (TO),"8,51"
Alvorada (TO),7
Ananás (TO),"4,45"
Angico (TO),"1,34"
Aparecida do Rio Negro (TO),"1,58"
Aragominas (TO),"1,13"
Araguacema (TO),"4,72"
Araguaçu (TO),"6,37"
Araguaína (TO),"59,88"
Araguanã (TO),"1,16"
Araguatins (TO),"14,74"
Arapoema (TO),"3,71"
Arraias (TO),"6,94"
Augustinópolis (TO),"8,5"
Aurora do Tocantins (TO),"1,83"
Axixá do Tocantins (TO),"3,93"
Babaçulândia (TO),"1,81"
Bandeirantes do Tocantins (TO),"2,04"
Barra do Ouro (TO),"4,24"
Barrolândia (TO),"2,4"
Bernardo Sayão (TO),"2,02"
Bom Jesus do Tocantins (TO),"0,86"
Brasilândia do Tocantins (TO),"1,49"
Brejinho de Nazaré (TO),"4,03"
Buriti do Tocantins (TO),"4,5"
Cachoeirinha (TO),"1,63"
Campos Lindos (TO),"37,6"
Cariri do Tocantins (TO),"7,64"
Carmolândia (TO),"0,79"
Carrasco Bonito (TO),"1,41"
Caseara (TO),"7,65"
Centenário (TO),"2,42"
Chapada de Areia (TO),"0,73"
Chapada da Natividade (TO),"4,63"
Colinas do Tocantins (TO),"9,85"
Combinado (TO),"2,38"
Conceição do Tocantins (TO),"2,11"
Couto Magalhães (TO),4
Cristalândia (TO),"3,24"
Crixás do Tocantins (TO),"1,16"
Darcinópolis (TO),"6,74"
Dianópolis (TO),"20,04"
Divinópolis do Tocantins (TO),"4,9"
Dois Irmãos do Tocantins (TO),"4,25"
Dueré (TO),"3,74"
Esperantina (TO),"3,31"
Fátima (TO),"1,63"
Figueirópolis (TO),"3,79"
Filadélfia (TO),"1,48"
Formoso do Araguaia (TO),"25,81"
Tabocão (TO),"4,57"
Goianorte (TO),"3,8"
Goiatins (TO),"8,64"
Guaraí (TO),"17,29"
Gurupi (TO),"39,09"
Ipueiras (TO),"0,29"
Itacajá (TO),"6,97"
Itaguatins (TO),"2,3"
Itapiratins (TO),"6,42"
Itaporã do Tocantins (TO),"1,37"
Jaú do Tocantins (TO),"1,44"
Juarina (TO),"0,87"
Lagoa da Confusão (TO),"18,23"
Lagoa do Tocantins (TO),"3,35"
Lajeado (TO),"0,4"
Lavandeira (TO),"1,18"
Lizarda (TO),"2,48"
Luzinópolis (TO),"1,98"
Marianópolis do Tocantins (TO),"4,96"
Mateiros (TO),"9,44"
Maurilândia do Tocantins (TO),"1,56"
Miracema do Tocantins (TO),"12,61"
Miranorte (TO),"7,67"
Monte do Carmo (TO),"1,83"
Monte Santo do Tocantins (TO),"1,47"
Palmeiras do Tocantins (TO),"2,66"
Muricilândia (TO),"0,79"
Natividade (TO),"7,69"
Nazaré (TO),"1,62"
Nova Olinda (TO),"3,66"
Nova Rosalândia (TO),"1,84"
Novo Acordo (TO),"3,17"
Novo Alegre (TO),"1,1"
Novo Jardim (TO),"1,33"
Oliveira de Fátima (TO),"0,54"
Palmeirante (TO),"2,12"
Palmeirópolis (TO),"2,51"
Paraíso do Tocantins (TO),"27,63"
Paranã (TO),"9,8"
Pau D'Arco (TO),"1,04"
Pedro Afonso (TO),"5,24"
Peixe (TO),"10,83"
Pequizeiro (TO),"2,11"
Colméia (TO),"3,59"
Pindorama do Tocantins (TO),"2,64"
Piraquê (TO),"1,03"
Pium (TO),"6,61"
Ponte Alta do Bom Jesus (TO),"2,06"
Ponte Alta do Tocantins (TO),"4,53"
Porto Alegre do Tocantins (TO),"1,46"
Porto Nacional (TO),"22,52"
Praia Norte (TO),"2,59"
Presidente Kennedy (TO),"1,28"
Pugmil (TO),"1,51"
Recursolândia (TO),"3,42"
Riachinho (TO),"1,91"
Rio da Conceição (TO),"0,91"
Rio dos Bois (TO),"1,69"
Rio Sono (TO),"4,17"
Sampaio (TO),"4,06"
Sandolândia (TO),"2,13"
Santa Fé do Araguaia (TO),"2,01"
Santa Maria do Tocantins (TO),"0,86"
Santa Rita do Tocantins (TO),"2,66"
Santa Rosa do Tocantins (TO),"9,56"
Santa Tereza do Tocantins (TO),"1,8"
Santa Terezinha do Tocantins (TO),"1,17"
São Bento do Tocantins (TO),"2,05"
São Félix do Tocantins (TO),"1,37"
São Miguel do Tocantins (TO),"7,13"
São Salvador do Tocantins (TO),"0,73"
São Sebastião do Tocantins (TO),"1,72"
São Valério (TO),"4,87"
Silvanópolis (TO),"1,48"
Sítio Novo do Tocantins (TO),"3,7"
Sucupira (TO),"7,86"
Taguatinga (TO),"9,89"
Taipas do Tocantins (TO),"1,1"
Talismã (TO),"2,17"
Palmas (TO),"63,76"
Tocantínia (TO),"1,18"
Tocantinópolis (TO),"10,38"
Tupirama (TO),"2,33"
Tupiratins (TO),"0,76"
Wanderlândia (TO),"2,1"
Xambioá (TO),"5,38"
Açailândia (MA),"26,5"
Afonso Cunha (MA),"9,62"
Água Doce do Maranhão (MA),"9,25"
Alcântara (MA),"10,79"
Aldeias Altas (MA),"28,21"
Altamira do Maranhão (MA),1
Alto Alegre do Maranhão (MA),"9,48"
Alto Alegre do Pindaré (MA),"3,53"
Alto Parnaíba (MA),"5,77"
Amapá do Maranhão (MA),"1,5"
Amarante do Maranhão (MA),"2,69"
Anajatuba (MA),"3,81"
Anapurus (MA),"6,36"
Apicum-Açu (MA),"9,71"
Araguanã (MA),"1,43"
Araioses (MA),"25,73"
Arame (MA),8
Arari (MA),"5,75"
Axixá (MA),"4,95"
Bacabal (MA),"18,27"
Bacabeira (MA),"30,44"
Bacuri (MA),"8,91"
Bacurituba (MA),"2,87"
Balsas (MA),"62,89"
Barão de Grajaú (MA),"10,21"
Barra do Corda (MA),"24,51"
Barreirinhas (MA),"38,07"
Belágua (MA),"2,59"
Bela Vista do Maranhão (MA),"1,97"
Benedito Leite (MA),"2,88"
Bequimão (MA),"10,01"
Bernardo do Mearim (MA),"1,27"
Boa Vista do Gurupi (MA),"1,45"
Bom Jardim (MA),"5,77"
Bom Jesus das Selvas (MA),"5,27"
Bom Lugar (MA),"1,42"
Brejo (MA),"14,01"
Brejo de Areia (MA),1
Buriti (MA),"11,85"
Buriti Bravo (MA),"4,41"
Buriticupu (MA),"10,49"
Buritirana (MA),"0,85"
Cachoeira Grande (MA),"3,1"
Cajapió (MA),"5,12"
Cajari (MA),"2,35"
Campestre do Maranhão (MA),"6,82"
Cândido Mendes (MA),"3,14"
Cantanhede (MA),"6,03"
Capinzal do Norte (MA),"8,89"
Carolina (MA),"16,75"
Carutapera (MA),"4,32"
Caxias (MA),"39,07"
Cedral (MA),"5,7"
Central do Maranhão (MA),"4,23"
Centro do Guilherme (MA),"2,22"
Centro Novo do Maranhão (MA),"4,3"
Chapadinha (MA),"38,13"
Cidelândia (MA),"1,27"
Codó (MA),"51,58"
Coelho Neto (MA),"52,34"
Colinas (MA),"21,03"
Conceição do Lago-Açu (MA),"2,7"
Coroatá (MA),"16,7"
Cururupu (MA),"19,18"
Davinópolis (MA),"1,32"
Dom Pedro (MA),"12,12"
Duque Bacelar (MA),"9,83"
Esperantinópolis (MA),"1,92"
Estreito (MA),"36,27"
Feira Nova do Maranhão (MA),"1,18"
Fernando Falcão (MA),"2,77"
Formosa da Serra Negra (MA),"5,57"
Fortaleza dos Nogueiras (MA),"13,65"
Fortuna (MA),"6,61"
Godofredo Viana (MA),"56,88"
Gonçalves Dias (MA),"6,93"
Governador Archer (MA),"4,24"
Governador Edison Lobão (MA),"2,6"
Governador Eugênio Barros (MA),"5,47"
Governador Luiz Rocha (MA),"3,28"
Governador Newton Bello (MA),"1,18"
Governador Nunes Freire (MA),"5,52"
Graça Aranha (MA),"2,5"
Grajaú (MA),"31,69"
Guimarães (MA),"6,77"
Humberto de Campos (MA),"11,04"
Icatu (MA),"9,09"
Igarapé do Meio (MA),"6,8"
Igarapé Grande (MA),"1,42"
Imperatriz (MA),"53,25"
Itaipava do Grajaú (MA),"2,96"
Itapecuru Mirim (MA),"30,39"
Itinga do Maranhão (MA),"3,39"
Jatobá (MA),"2,88"
Jenipapo dos Vieiras (MA),"3,47"
João Lisboa (MA),"1,87"
Joselândia (MA),"3,21"
Junco do Maranhão (MA),"1,32"
Lago da Pedra (MA),"7,72"
Lago do Junco (MA),"1,05"
Lago Verde (MA),"1,64"
Lagoa do Mato (MA),"3,69"
Lago dos Rodrigues (MA),"1,01"
Lagoa Grande do Maranhão (MA),"1,44"
Lajeado Novo (MA),"0,7"
Lima Campos (MA),"3,31"
Loreto (MA),"16,27"
Luís Domingues (MA),"1,23"
Magalhães de Almeida (MA),"12,83"
Maracaçumé (MA),"4,43"
Marajá do Sena (MA),"1,27"
Maranhãozinho (MA),"2,59"
Mata Roma (MA),"7,64"
Matinha (MA),"3,61"
Matões (MA),"4,74"
Matões do Norte (MA),"3,91"
Milagres do Maranhão (MA),"2,74"
Mirador (MA),"10,56"
Miranda do Norte (MA),"31,01"
Mirinzal (MA),"8,12"
Monção (MA),"4,73"
Montes Altos (MA),"0,6"
Morros (MA),"7,61"
Nina Rodrigues (MA),"3,48"
Nova Colinas (MA),"3,4"
Nova Iorque (MA),"1,94"
Nova Olinda do Maranhão (MA),"2,57"
Olho d'Água das Cunhãs (MA),"2,27"
Olinda Nova do Maranhão (MA),"1,97"
Paço do Lumiar (MA),"3,07"
Palmeirândia (MA),"2,55"
Paraibano (MA),"6,97"
Parnarama (MA),"5,97"
Passagem Franca (MA),"7,61"
Pastos Bons (MA),"11,77"
Paulino Neves (MA),"7,09"
Paulo Ramos (MA),"2,72"
Pedreiras (MA),"9,5"
Pedro do Rosário (MA),"2,9"
Penalva (MA),"4,66"
Peri Mirim (MA),"1,76"
Peritoró (MA),"7,21"
Pindaré-Mirim (MA),"4,15"
Pinheiro (MA),"19,09"
Pio XII (MA),"2,31"
Pirapemas (MA),"5,14"
Poção de Pedras (MA),"1,97"
Porto Franco (MA),"32,68"
Porto Rico do Maranhão (MA),"3,32"
Presidente Dutra (MA),"34,87"
Presidente Juscelino (MA),"4,29"
Presidente Médici (MA),"0,85"
Presidente Sarney (MA),"3,03"
Presidente Vargas (MA),3
Primeira Cruz (MA),"5,34"
Raposa (MA),"0,71"
Riachão (MA),"6,71"
Ribamar Fiquene (MA),"0,86"
Rosário (MA),"22,51"
Sambaíba (MA),"18,68"
Santa Filomena do Maranhão (MA),"1,66"
Santa Helena (MA),"6,57"
Santa Inês (MA),"20,55"
Santa Luzia (MA),"10,42"
Santa Luzia do Paruá (MA),"3,55"
Santa Quitéria do Maranhão (MA),"19,88"
Santa Rita (MA),"18,01"
Santana do Maranhão (MA),"6,74"
Santo Amaro do Maranhão (MA),"5,75"
Santo Antônio dos Lopes (MA),"36,86"
São Benedito do Rio Preto (MA),"6,12"
São Bento (MA),"5,73"
São Bernardo (MA),"25,58"
São Domingos do Azeitão (MA),"12,62"
São Domingos do Maranhão (MA),"16,43"
São Félix de Balsas (MA),"3,39"
São Francisco do Brejão (MA),"0,84"
São Francisco do Maranhão (MA),"3,76"
São João Batista (MA),"2,49"
São João do Carú (MA),"1,73"
São João do Paraíso (MA),"4,82"
São João do Soter (MA),"2,89"
São João dos Patos (MA),"12,96"
São José de Ribamar (MA),"5,68"
São José dos Basílios (MA),"2,86"
São Luís (MA),"90,53"
São Luís Gonzaga do Maranhão (MA),"2,05"
São Mateus do Maranhão (MA),"5,18"
São Pedro da Água Branca (MA),"0,88"
São Pedro dos Crentes (MA),"2,66"
São Raimundo das Mangabeiras (MA),"29,11"
São Raimundo do Doca Bezerra (MA),"0,53"
São Roberto (MA),"0,55"
São Vicente Ferrer (MA),"2,68"
Satubinha (MA),"1,12"
Senador Alexandre Costa (MA),"4,7"
Senador La Rocque (MA),"1,3"
Serrano do Maranhão (MA),"5,25"
Sítio Novo (MA),"6,11"
Sucupira do Norte (MA),"4,8"
Sucupira do Riachão (MA),"1,83"
Tasso Fragoso (MA),"23,45"
Timbiras (MA),"6,14"
Timon (MA),"42,91"
Trizidela do Vale (MA),"6,34"
Tufilândia (MA),"0,84"
Tuntum (MA),"10,07"
Turiaçu (MA),"6,33"
Turilândia (MA),"4,77"
Tutóia (MA),"32,71"
Urbano Santos (MA),"10,55"
Vargem Grande (MA),"17,05"
Viana (MA),9
Vila Nova dos Martírios (MA),"1,09"
Vitória do Mearim (MA),"5,84"
Vitorino Freire (MA),"4,56"
Zé Doca (MA),"7,95"
Acauã (PI),"1,62"
Agricolândia (PI),"3,07"
Água Branca (PI),"15,84"
Alagoinha do Piauí (PI),"10,84"
Alegrete do Piauí (PI),"7,98"
Alto Longá (PI),"5,42"
Altos (PI),"2,06"
Alvorada do Gurguéia (PI),"2,52"
Amarante (PI),"12,5"
Angical do Piauí (PI),"4,33"
Anísio de Abreu (PI),"5,65"
Antônio Almeida (PI),"16,8"
Aroazes (PI),5
Aroeiras do Itaim (PI),"0,72"
Arraial (PI),"3,18"
Assunção do Piauí (PI),"2,66"
Avelino Lopes (PI),"7,36"
Baixa Grande do Ribeiro (PI),30
Barra D'Alcântara (PI),"3,4"
Barras (PI),"13,77"
Barreiras do Piauí (PI),"5,01"
Barro Duro (PI),"5,83"
Batalha (PI),"6,94"
Bela Vista do Piauí (PI),"1,03"
Belém do Piauí (PI),"0,91"
Beneditinos (PI),"0,35"
Bertolínia (PI),"8,43"
Betânia do Piauí (PI),"1,38"
Boa Hora (PI),"1,73"
Bocaina (PI),"1,39"
Bom Jesus (PI),"43,29"
Bom Princípio do Piauí (PI),"1,44"
Bonfim do Piauí (PI),"3,02"
Boqueirão do Piauí (PI),"2,14"
Brasileira (PI),"1,92"
Brejo do Piauí (PI),"2,51"
Buriti dos Lopes (PI),"4,41"
Buriti dos Montes (PI),"2,89"
Cabeceiras do Piauí (PI),"2,38"
Cajazeiras do Piauí (PI),"0,99"
Cajueiro da Praia (PI),"2,37"
Caldeirão Grande do Piauí (PI),"4,29"
Campinas do Piauí (PI),"1,27"
Campo Alegre do Fidalgo (PI),"1,13"
Campo Grande do Piauí (PI),"1,37"
Campo Largo do Piauí (PI),"1,56"
Campo Maior (PI),"29,23"
Canavieira (PI),"1,55"
Canto do Buriti (PI),"15,5"
Capitão de Campos (PI),"4,41"
Capitão Gervásio Oliveira (PI),"0,96"
Caracol (PI),"5,57"
Caraúbas do Piauí (PI),"1,18"
Caridade do Piauí (PI),"1,1"
Castelo do Piauí (PI),"8,38"
Caxingó (PI),"1,09"
Cocal (PI),"5,6"
Cocal de Telha (PI),"1,94"
Cocal dos Alves (PI),"1,17"
Coivaras (PI),"0,14"
Colônia do Gurguéia (PI),"8,24"
Colônia do Piauí (PI),"1,98"
Conceição do Canindé (PI),"1,33"
Coronel José Dias (PI),"2,33"
Corrente (PI),"51,3"
Cristalândia do Piauí (PI),"5,66"
Cristino Castro (PI),"3,73"
Curimatá (PI),"10,66"
Currais (PI),"12,56"
Curralinhos (PI),"0,15"
Curral Novo do Piauí (PI),"1,73"
Demerval Lobão (PI),"0,81"
Dirceu Arcoverde (PI),"3,85"
Dom Expedito Lopes (PI),"2,27"
Domingos Mourão (PI),"1,93"
Dom Inocêncio (PI),"9,38"
Elesbão Veloso (PI),"14,37"
Eliseu Martins (PI),"6,49"
Esperantina (PI),"12,63"
Fartura do Piauí (PI),"2,67"
Flores do Piauí (PI),"1,78"
Floresta do Piauí (PI),"0,56"
Floriano (PI),"54,28"
Francinópolis (PI),"3,91"
Francisco Ayres (PI),"3,04"
Francisco Macedo (PI),"0,72"
Francisco Santos (PI),"13,76"
Fronteiras (PI),"2,47"
Geminiano (PI),"1,72"
Gilbués (PI),"12,8"
Guadalupe (PI),"23,54"
Guaribas (PI),"2,58"
Hugo Napoleão (PI),"2,21"
Ilha Grande (PI),"2,46"
Inhuma (PI),"14,27"
Ipiranga do Piauí (PI),"2,39"
Isaías Coelho (PI),"1,78"
Itainópolis (PI),"2,38"
Itaueira (PI),"4,87"
Jacobina do Piauí (PI),"1,52"
Jaicós (PI),"4,22"
Jardim do Mulato (PI),"2,57"
Jatobá do Piauí (PI),"2,43"
Jerumenha (PI),"2,35"
João Costa (PI),"1,52"
Joaquim Pires (PI),"3,29"
Joca Marques (PI),"1,28"
José de Freitas (PI),"1,5"
Juazeiro do Piauí (PI),"2,32"
Júlio Borges (PI),"6,09"
Jurema (PI),"2,49"
Lagoinha do Piauí (PI),"2,63"
Lagoa Alegre (PI),"0,3"
Lagoa do Barro do Piauí (PI),"11,77"
Lagoa de São Francisco (PI),"2,28"
Lagoa do Piauí (PI),"0,29"
Lagoa do Sítio (PI),"4,24"
Landri Sales (PI),"12,82"
Luís Correia (PI),"7,77"
Luzilândia (PI),"6,67"
Madeiro (PI),"2,08"
Manoel Emídio (PI),"6,4"
Marcolândia (PI),"4,37"
Marcos Parente (PI),"6,41"
Massapê do Piauí (PI),"1,15"
Matias Olímpio (PI),"2,64"
Miguel Alves (PI),"8,66"
Miguel Leão (PI),"0,09"
Milton Brandão (PI),"2,22"
Monsenhor Gil (PI),"0,49"
Monsenhor Hipólito (PI),"12,08"
Monte Alegre do Piauí (PI),"9,15"
Morro Cabeça no Tempo (PI),"2,95"
Morro do Chapéu do Piauí (PI),"1,73"
Murici dos Portelas (PI),"1,54"
Nazaré do Piauí (PI),"2,48"
Nazária (PI),"0,36"
Nossa Senhora de Nazaré (PI),"1,98"
Nossa Senhora dos Remédios (PI),"2,17"
